,interaction,features,odds,p,is_significant,q,log_o,log_q
5602,CHEBI:16908:+,IPR036890,18.094594594594593,0.006977804044775942,True,0.021750516245756742,1.2575488572810327,1.6625304306623219
5604,CHEBI:16467:-,IPR044940,188.16901408450704,0.00034329190504264084,True,0.002911871632812252,2.2745481094204516,2.535827774410547
5605,CHEBI:16057:-,IPR006205,1686.5,3.943406755691228e-06,True,8.58799542722919e-05,3.22698634552522,4.066108195480509
5606,CHEBI:28368:-,IPR034136,560.5833333333334,4.265269235453586e-05,True,0.0005941621623445905,2.7486401816351775,3.226095008554195
5607,CHEBI:16057:-,IPR013750,481.5,2.3613743087859195e-05,True,0.000372595268319278,2.6825962914605532,3.4287626646192604
5608,CHEBI:16467:-,IPR044943,188.16901408450704,0.00034329190504264084,True,0.002911871632812252,2.2745481094204516,2.535827774410547
5609,CHEBI:62517:-,IPR036008,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
5610,CHEBI:16057:-,IPR014721,104.9375,0.00036436047990941596,True,0.003049925798004403,2.020930713482124,2.515710726525096
5611,CHEBI:16467:-,IPR044944,188.16901408450704,0.00034329190504264084,True,0.002911871632812252,2.2745481094204516,2.535827774410547
5612,CHEBI:16057:-,IPR020568,88.28947368421052,0.00050539562851171,True,0.003923116629471327,1.9459089278882007,2.406368780633423
5613,CHEBI:16057:-,IPR036554,336.9,4.324056362106944e-05,True,0.0006007616502325114,2.52750101098112,3.2212977984139783
5616,CHEBI:62517:-,IPR018136,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
5617,CHEBI:58095:-,IPR036979,160.67469879518072,0.00046578758513658616,True,0.0036548546720988387,2.205947494443875,2.4371298872041636
5619,CHEBI:30887:+,IPR013785,16.05609756097561,0.01162634981253846,True,0.02950300898091486,1.2056399983723434,1.530133688524669
5620,CHEBI:28368:-,IPR025834,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5625,CHEBI:76451:-,IPR002888,153.02272727272728,0.0001525822783888132,True,0.0016153079665337103,2.184755937981758,2.791744665026059
